$Proto-Quechuan , Ecuador
p a k a , p a k a
a p a , a p a
r a p r a , r a p r a
p a m p a , p a m b a
t a p u , t a p u 
w a t a , w a t a
u t k a , u t k a
i n t i , i n d i
k i m s a , k i m s a 
p u k a , p u k a
s a k s a , s a χ s a
k u ŋ k a , k u ŋ ɡ a
q a m , k a ŋ
q u s a , k u s a
w a q a , w a k a
s u q t a , s u x t a
s i ŋ q a , s i ŋ ɡ a
t͡ʃ a k i , t͡ʃ a k i
m u t͡ʃ a , m u t͡ʃ a
m a n t͡ʃ a , m a n t͡ʃ a
p u t͡ʃ k a , p u ʃ k a
ɑ j t͡ʃ a , ɑ j t͡ʃ a 
t͡ʂ a k i , t͡ʂ a k i
k a t͡ʂ a , k a t͡ʂ a
u t͡ʂ p a , u ʃ p a
k i t͡ʂ k i , k i ʃ k i
s a r u , s a r u
s a r a , s a r a
q a s a , k a s a 
i s q u ŋ , i ʃ k u ŋ
ɑ j s a , ɑ j s a
w a ʃ a , w a ʃ a
i ʃ k ɑ j , i ʃ k ɑ j
h a t u ŋ , h a t u ŋ
h u t͡ʃ a , h u t͡ʃ a
h u m p i , h u m b i
lʲ a k i , ʒ a k i
k i lʲ a , k i ʒ a
a lʲ p a , a ʒ p a
ɑ j lʲ u , ɑ j ʒ u
r i m a , r i m a
k a r u , k a r u
w a r m i , w a r m i
n i n a , n i n a
j a n a , j a n a
w ɑ j n a , w ɑ j n a
a ŋ j a , a ŋ j a
nʲ a w i , nʲ a w i
w a nʲ u , w a nʲ u
q i p a , k i p a
w i q i , w i k i
q i ʃ p i , k i ʃ p i
q u , k u
q u ŋ q a , k u ŋ ɡ a
