$Proto-Quechuan , Junin
p a k a , p a k a
a p a , a p a
r a p r a , r a p r a
p a m p a , p a m b a
t a p u , t a p u 
w a t a , w a t a
u t k a , u t k a
i n t i , i n d i
k i m s a , k i m s a
s a k s a , s a k s a
k u ŋ k a , k u ŋ ɡ a
q a m , q a m
q u s a , q o s a
w a q a , w a ɢ a
s u q t a , s o χ t a
s i ŋ q a , s e ɴ ɢ a
t͡ʃ a k i , t͡ʃ a k i
m u t͡ʃ a , m u t͡ʃ a
m a n t͡ʃ a , m a n t͡ʃ a
p u t͡ʃ k a , p u t͡ʃ k a
ɑ j t͡ʃ a , ɑ j t͡ʃ a 
t͡ʂ a k i , t͡ʂ a k i
k a t͡ʂ a , k a t͡ʂ a
u t͡ʂ p a , u t͡ʂ p a
k i t͡ʂ k i , k i t͡ʂ k i
s a r u , s a r u
s a r a , s a r a
q a s a , q a s a 
i s q u ŋ , e s q o ŋ
ɑ j s a , ɑ j s a
ʃ u lʲ k a , ʃ u ʃ k a
w a ʃ a , w a ʃ a
i ʃ k ɑ j , i ʃ k ɑ j
h a t u ŋ , a t u ŋ
h u t͡ʃ a , u t͡ʃ a
lʲ a k i , ʒ a k i
k i lʲ a , k i ʒ a
a lʲ p a , a ʃ p a
ɑ j lʲ u , ɑ j ʒ u
r i m a , r i m a
k a r u , k a r u
w a r m i , w a r m i
w a q r a , w a χ r a
n i n a , n i n a
j a n a , j a n a
w ɑ j n a , w ɑ j n a
a ŋ j a , a ŋ j a
nʲ a w i , nʲ a w i
w a nʲ u , w a nʲ u
q i p a , q e p a
q u , q o
q u ŋ q a , q o ɴ ɢ a
